"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12040","All tabs are displayed on the Home page","chromium","Wed Apr 23 11:00:11 UTC 2025","passed","Wed Apr 23 11:00:24 UTC 2025","","TabsDisplaying.spec.js","",""
"","7758","Add filter to the filter section","chromium","Wed Apr 23 11:00:03 UTC 2025","passed","Wed Apr 23 11:00:11 UTC 2025","","AddFilter.spec.js","",""
"","9939","Checking of correct work of filter 'Status'","firefox","Wed Apr 23 11:00:24 UTC 2025","passed","Wed Apr 23 11:00:34 UTC 2025","","FilterStatus.spec.js","",""
"","5320","Valid Log in","firefox","Wed Apr 23 11:00:35 UTC 2025","passed","Wed Apr 23 11:00:40 UTC 2025","","ValidLogin.spec.js","",""
"","6794","Valid Registration","chromium","Wed Apr 23 11:00:17 UTC 2025","passed","Wed Apr 23 11:00:24 UTC 2025","","ValidRegistration.spec.js","",""
"","7537","Valid Registration","firefox","Wed Apr 23 11:00:41 UTC 2025","passed","Wed Apr 23 11:00:48 UTC 2025","","ValidRegistration.spec.js","",""
"","8397","Checking of correct work of filter 'Status'","chromium","Wed Apr 23 11:00:03 UTC 2025","passed","Wed Apr 23 11:00:12 UTC 2025","","FilterStatus.spec.js","",""
"","8486","Add filter to the filter section","firefox","Wed Apr 23 11:00:24 UTC 2025","passed","Wed Apr 23 11:00:33 UTC 2025","","AddFilter.spec.js","",""
"","13548","All tabs are displayed on the Home page","firefox","Wed Apr 23 11:00:33 UTC 2025","passed","Wed Apr 23 11:00:47 UTC 2025","","TabsDisplaying.spec.js","",""
"","4709","Valid Log in","chromium","Wed Apr 23 11:00:12 UTC 2025","passed","Wed Apr 23 11:00:17 UTC 2025","","ValidLogin.spec.js","",""
